t,nu,F,F_error,Instrument
52,8.49,0.29,0.032,VLA
52,9.51,0.408,0.035,VLA
52,10.49,0.44,0.036,VLA
52,11.51,0.412,0.037,VLA
52,15.5,0.464,0.045,AMI
80,1.28,0.104,0.018,MeerKAT
80,3.5,0.103,0.028,VLA
80,4.49,0.319,0.04,VLA
80,5.51,0.324,0.033,VLA
80,6.49,0.443,0.037,VLA
80,7.51,0.558,0.041,VLA
80,8.49,0.68,0.045,VLA
80,9.51,0.73,0.047,VLA
80,10.49,0.756,0.048,VLA
80,11.51,0.771,0.051,VLA
80,15.5,0.73,0.076,AMI
130,1.28,0.111,0.017,MeerKAT
130,2.24,0.249,0.065,VLA
130,2.76,0.345,0.053,VLA
130,3.18,0.255,0.049,VLA
130,3.69,0.419,0.043,VLA
130,4.74,0.698,0.046,VLA
130,5.76,0.829,0.053,VLA
130,6.69,0.987,0.058,VLA
130,7.71,1.117,0.063,VLA
130,8.49,1.194,0.067,VLA
130,9.51,1.238,0.069,VLA
130,10.14,1.31,0.073,VLA
130,11.16,1.356,0.075,VLA
130,15.5,0.978,0.075,AMI
188,1.28,0.152,0.019,MeerKAT
188,2.24,0.351,0.055,VLA
188,2.75,0.744,0.054,VLA
188,3.24,0.92,0.057,VLA
188,3.76,1.032,0.063,VLA
188,4.74,1.349,0.073,VLA
188,5.76,1.379,0.075,VLA
188,6.69,1.285,0.071,VLA
188,7.71,1.111,0.062,VLA
188,8.49,1.074,0.062,VLA
188,9.51,0.921,0.054,VLA
188,10.14,0.884,0.053,VLA
188,11.16,0.785,0.049,VLA
188,15.5,0.676,0.055,AMI
